id,name
category_0,日本积水XLIM泡棉
category_1,SDK
category_2,双面胶
category_3,硅胶保护膜
category_4,积水
category_5,0.05 平纹单面带胶银色导电布
category_6,光大同创
category_7,三层防刮花硬化膜
category_8,铝箔
category_9,0.06T蓝色PET胶带
category_10,离型膜
category_11,OCA
category_12,EVA
category_13,复合石墨膜
category_14,导电海绵
category_15,成品
category_16,亚克力托底膜
category_17,导电泡棉
category_18,静电膜
category_19,泡棉胶
category_20,高温标签纸
category_21,PE保护膜
category_22,3M
category_23,DIC防水泡棉胶
category_24,PU膜
category_25,格拉辛
category_26,皇冠双面胶
category_27,不织布双面胶
category_28,PE膜
category_29,IR膜
category_30,防水胶
category_31,0.05 平纹单面带胶导电布
category_32,PORON
category_33,离型纸
category_34,哑面黑色遮光胶
category_35,封箱胶带
category_36,马拉胶带
category_37,双导铜箔
category_38,双面胶(PET基材)
category_39,PC
category_40,德莎双面胶
category_41,白色网格离型纸1-3G，T=0.1
category_42,合成纸
category_43,0.05平纹单面带胶黑色导电布
category_44,PU保护（防静电）
category_45,美纹胶带
category_46,PU
category_47,全方位导电海绵
category_48,富印
category_49,PE保护膜平纹带胶
category_50,PI
category_51,PET
category_52,泡棉
category_53,艾利铜版纸
category_54,醋酸布
category_55,保护膜
category_56,0.1导电布
category_57,导电布
category_58,TESA
category_59,硅橡胶
category_60,哑光PVC(带胶）
category_61,博克
category_62,导电铜箔
category_63,防尘网
